Aleksandrów+Kujawski;5100339
Andrychów;5100340
Andrychów+Górnica;5100336
Andrzejówka;5100338
Anieliny;5100337
Antonin;5100342
Antoniów;5100341
Antoniówka;5100334
Arcelin;5100345
Augustów;5100089
Augustów+Port;5100344
Augustówka;5100347
Babi+Dół;5100398
Babiak;5100351
Babica;5100350
Babica+Kolonia;5100464
Babimost;5100492
Baborówko;5100366
Baboszewo;5100373
Baby;5100372
Bachorce;5100354
Bagienice;5100356
Balin;5100363
Balinka;5100482
Baranówka;5100465
Barchów;5100359
Barcice;5100392
Barcząca;5100666
Barczewo;5100683
Bardo+Przyłęk;5100367
Bardo+Śląskie;5100576
Barłogi;5100557
Bartąg;5100586
Bartodzieje;5100406
Bartosze;5100591
Barwałd+Górny;5100629
Barwałd+Średni;5100627
Barzkowice;5100472
Baszewice;5100584
Basznia;5100369
Basznia+Dolna;5100355
Bażanowice;5100352
Bąk;5100362
Bąkowiec;5100476
Bąków;5100371
Bednary;5100594
Bedoń;5100407
Belęcin+Wielkopolski;5100388
Bełchów;5100411
Bełsznica;5100413
Bełżec;5100668
Berezów;5100415
Besko;5100416
Będów;5100319
Będziemyśl;5100679
Będzin;5100410
Będzin+Ksawera;5100474
Będzin+Miasto;5100493
Będzino;5100414
Będźmierowice;5100495
Biadki;5100432
Biadoliny+(PODG);5100435
Biała;5100431
Biała+Pajęczańska;5100534
Biała+Pilska;5100537
Biała+Podlaska;5100086
Biała+Podlaska+Rozrządowa;5104582
Białki;5100468
Białki+Siedleckie;5100575
Białogard;5100001
Białośliwie;5100450
Białuń;5100443
Biały+Bór;5100382
Biały+Dunajec;5100404
Biały+Kościół;5100456
Białystok;5100002
Białystok+Bacieczki;5100433
Białystok+Stadion;5100581
Białystok+Starosielce;5100579
Białystok+Wiadukt;5100632
Biecz;5100436
Bieczyno+Pomorskie;5100541
Bielin;5100441
Bielsk+Podlaski;5100539
Bielsko+Biała+Aleksandrowice;5100378
Bielsko+Biała+Górne;5100424
Bielsko+Biała+Komorowice;5100444
Bielsko+Biała+Leszczyny;5100379
Bielsko+Biała+Lipnik;5100380
Bielsko+Biała+Mikuszowice;5100381
Bielsko+Biała+Wapienica;5100385
Bielsko+Biała+Zachód;5100387
Bielsko-Biała+Główna;5100316
Bielsko-Biała+Północ;5100383
Bielsko-Biała+Wschód;5100439
Bieniów;5100503
Bierawa;5100449
Biernatowo;5100505
Bierutów;5100566
Bierzwnik;5100673
Biesal;5100455
Biesowice;5100582
Biłgoraj;5100438
Biniew;5100499
Bińcze;5100457
Biskupice;5100488
Biskupice+koło+Kluczborka;5100452
Biskupice+Oławskie;5100519
Biskupice+Wielkopolskie;5100635
Biskupiec+Pomorski;5100538
Biskupiec+Reszelski;5100550
Biskupnica;5100475
Blachownia;5100479
Blizna;5100491
Bliżyn;5100490
Błaszki;5100487
Błażkowa;
Błądzim;5100484
Błonie;5100496
Błotnica;5100486
Błotnica+Strzelecka;5100580
Bobowa;5100508
Bobowa-Miasto;5100509
Bobrowniki;5100530
Bobrowo+Pomorskie;5100494
Bobrówka;5100560
Bobry;5100507
Bochnia;5100227
Boczów;5100397
Bogaczewo;5100420
Bogaczów;5100421
Bogdaniec;5100298
Bogoniowice+Ciężkowice;5100393
Boguchwała;5100515
Bogumiłowice;5100423
Boguszewo;5100427
Boguszów-Gorce;5100429
Boguszów-Gorce+Wschód;5100428
Boguszów-Gorce+Zachód;5100511
Bojanowo;5100459
Bojary;5100517
Boksycka;5100518
Bolechowo;5100481
Bolesławice+Świdnickie;5100578
Bolesławiec;5100079
Boleszewo;5181527
Boleszkowice;5100480
Boreczek;5100548
Borek+Wielkopolski;5100556
Borki+Siedleckie;5100575
Borki-Kosy;5100525
Borkowice;5100467
Borkowo;5100524
Boronów;5100559
Borowa+Oleśnicka;5100628
Borowiany;5100569
Borowiki;5100545
Borowina;5100640
Borsukówka;5100528
Borszewice;5100570
Boszkowo;5100526
Boża+Wola;5100357
Bożacin;5100533
Bożepole+Wielkie;5100544
Brachlewo;5100553
Brachów;5100430
Braniewo;5100302
Bratków;5100589
Bratoszewice;5100593
Brodnica;5100401
Brody+Iłżeckie;5100399
Brody+Warszawskie;5100405
Brokęcino;5100471
Bronów;5100558
Brusy;5100615
Brwinów;5100633
Brzask;5100568
Brzeg;5100003
Brzeg+Dolny;5100004
Brzeg+Głogowski;5100422
Brzesko+Okocim;5100671
Brzeszcze+Jawiszowice;5100555
Brzezinka+Średzka;5100574
Brzeźnica;5100498
Brzeźnica+nad+Wartą;5100637
Brzeźno;5100562
Brzeźno+Człuchowskie;5100396
Brzostów+Wielkopolski;5100680
Brzoza+Bydgoska;5100376
Brzoza+Toruńska;5100592
Brzozowica;5100667
Brzozowiec+Gorzowski;5100552
Brzózki;5100669
Brzustów;5100682
Buchałów;5100597
Budachów;5100600
Budki+Nowe;5100400
Budziszowice;5100602
Budzyń;5100653
Bujaki+[dawna+lokalizacja];5100458
Buk;5100596
Bukowa;5100607
Bukowice+Trzebnickie;5100585
Bukowiec+Międzyrzecki;5100609
Bukowina+Bobrzańska;5100375
Bukowina+Sycowska;5100477
Bukowno;5100610
Bukowno+Przymiarki;5102981
Bukowo;5100611
Bukowo+Człuchowskie;5100617
Bukwałd;5100470
Bulowice;5100608
Burkat;5100614
Bursztynowo;5100616
Byczyna+Kluczborska;5100643
Bydgoszcz+Bielawy;5100642
Bydgoszcz+Główna;5100005
Bydgoszcz+Leśna;5100647
Bydgoszcz+Łęgnowo;5100652
Bydgoszcz+Osowa+Góra;5100661
Bydgoszcz+Wschód;5100648
Bystra+Podhalańska;5100658
Bystrzyca+Kłodzka;5100656
Bystrzyca+Kłodzka+Przedmieście;5100675
Bytnica;5100649
Bytom;5100006
Bytom+Karb;5100651
Bytom+Odrzański;5100654
Bytom+Północny+[posterunek+odgałęźny];5100655
Bytonia;5100590
Bzowiec;5100665
Cegłów;5100700
Cekcyn;5100701
Celestynów;5100702
Cerkiewnik;5100705
Chabówka;5100091
Chałupki;5100708
Chałupy;5100686
Charnowo+Słupskie;5100719
Charsznica;5100687
Chechło;5100710
Chełchy;5100714
Chełm;5100303
Chełm+Cementownia;5100691
Chełm+Miasto;5100768
Chełm+Śląski;5100817
Chełmce;5100703
Chełmek;5100712
Chełmek+Wołowski;5100838
Chełmża;5100761
Chludowo;5100759
Chmielniki+Bydgoskie;5100709
Chmielów;5100750
Chocicza;5100788
Chociszew;5100696
Chociszewo+Rogoziniec;5100695
Chociw+Łaski;5100790
Chociwel;5100796
Chocznia;5100792
Chocznia+Górna;5100713
Chodzież;5100092
Chojna;5100720
Chojnice;5100304
Chojnik;5100789
Chojnów;5100793
Chorzelów;5100872
Chorzew+Siemkowice;5100093
Chorzów+Batory;5100786
Chorzów+Miasto;5100073
Chorzów+Stary;5100723
Choszczno;5100094
Chotomów;5100826
Chotyłów;5100828
Chrosna;5100722
Chrośnica;5100809
Chróścice;5100805
Chróścina+Nyska;5100794
Chróścina+Opolska;5100794
Chrusty+Nowe;5100782
Chruszczobród;5100811
Chrzanów;5100728
Chrzanów+Śródmieście;5100819
Chrząstowice;5100814
Chrząstowice+Olkuskie;5100785
Chrzęsne;5100806
Chwalibogowo;5100835
Chybie;5100727
Chybie+Mnich;5100849
Chynów;5100850
Ciasna;5100730
Ciechanowice;5100732
Ciechanów;5100095
Ciechanów+Przemysłowy;5100741
Ciechocinek;5100734
Ciecholub;5100740
Ciecierzyn;
Cieksyn;5100736
Cienin;5100735
Cienin+Kościelny;5100745
Cieplewo;5100743
Cierpice;5100800
Cierpigórz;5100733
Cieszków;5100861
Cieszyn;5100873
Cieszyn+Marklowice;5100767
Cieszyn+Mnisztwo;5100773
Cieszyno+Łobeskie;5100752
Cięcina;5100694
Cięcina+Dolna;5104563
Cikowice;5100747
Cisie;5100729
Cisiec;5100815
Cybowo;5100845
Cykarzew;5100848
Cykarzew+Stary;5100851
Czachówek+Górny;5100707
Czachówek+Południowy;5100852
Czaplinek;5100866
Czarlin;5100774
Czarna+Białostocka;5100853
Czarna+Tarnowska;5100870
Czarna+Woda;5100864
Czarnca;5100868
Czarne;5100778
Czarne+Małe;5100762
Czarniecka+Góra;5100857
Czarnobór;5100776
Czarnowęsy+Pomorskie;5100839
Czarny+Blok;5100688
Czastary;5100869
Czaszyn;5100821
Czechowice+Dziedzice+Południowe;5100856
Czechowice-Dziedzice;5100251
Czechowice-Dziedzice+Przystanek;5100855
Czechowizna;5100843
Czekanów;5100746
Czeluścin;5100753
Czempiń;5100771
Czepino;5100801
Czeremcha;5100863
Czermno;5100867
Czerna;5100775
Czerna+Mała;5100781
Czernica+Wrocławska;5100697
Czerniejewo;5100860
Czerniewice;5100831
Czernikowo;5100749
Czersk;5100803
Czersk+Świecki;5100816
Czeruchy;5100813
Czerwieńsk;5100096
Czerwionka;5101963
Czerwionka+Dębieńsko;5101966
Czerwonak;5100837
Czerwonka;5100164
Czesławice;5100760
Częstochowa;5100007
Częstochowa+Aniołów;5100824
Częstochowa+Gnaszyn;5104421
Częstochowa+Raków;5100827
Częstochowa+Stradom;5100235
Człuchów;5100755
Czudec;5100871
Czuprynowo;5100802
Czyżew;5103787
Czyżowice;5100844
Dalanówek;5100876
Dalekie;5100875
Daleszewo;5100879
Dalęcino;5100885
Damnica;5100886
Daniszyn;5100894
Dankowice;5100937
Darłowo;5100890
Daszewo;5100891
Dąbie+koło+Dębicy;5100896
Dąbie+nad+Nerem;5100882
Dąbkowizna;5100884
Dąbroszyn;5100295
Dąbrowa+Białostocka;5100900
Dąbrowa+Chełmińska;5100956
Dąbrowa+Górnicza;5100250
Dąbrowa+Górnicza+Gołonóg;5100925
Dąbrowa+Górnicza+Huta+Katowice+[przystanek+osobowy];5100931
Dąbrowa+Górnicza+Pogoria;5100927
Dąbrowa+Górnicza+Południowa;5100889
Dąbrowa+Górnicza+Sikorka;5100928
Dąbrowa+Górnicza+Strzemieszyce;5100929
Dąbrowa+Górnicza+Wschodnia;5100930
Dąbrowa+Górnicza+Ząbkowice;5100098
Dąbrowa+Niemodlińska;5100956
Dąbrowa+Oleśnicka;5100905
Dąbrowa-Łazy;5100903
Dąbrowica+Małopolska;5100932
Dąbrowice+Skierniewickie;5100995
Dąbrowy;5100877
Dąbrówka+Górkło;5100965
Dąbrówka+Kobułcka;5100902
Dąbrówka+Malborska;5100904
Deszczno;5100923
Dęba+Opoczyńska;5100917
Dębe+Wielkie;5100924
Dębica;5100228
Dęblin;5100099
Dębowy+Gaj;5100934
Dębska+Kuźnia;5100918
Długi+Kąt;5100946
Długie;5100942
Długołęka;5100944
Długopole-Zdrój;5100947
Dobczyn;5100961
Dobiegniew;5100966
Dobieszyn;5101038
Doboszowice;5101024
Dobra+koło+Limanowej;5100960
Dobre+Miasto;5100964
Dobrocin;5100962
Dobroń;5100988
Dobroszyce;5101026
Dobrowoda;5101009
Dobrynka;5101018
Dobryszyce+koło+Radomska;5100938
Dobrzechów;5101027
Dobrzejewice;5101029
Dobrzeń+Wielki;5101030
Dobrzyniewo+Duże;5100963
Dobrzyń;5100978
Dolice;5100959
Dolna+Odra;5100972
Dolnik;5100969
Domanin;5100970
Domaszków;5100975
Domaszowice;5100979
Dominów;5100951
Domisław;5100977
Dopiewo;5100973
Dorohusk;5100974
Dragacz;5100982
Drawiny;5100992
Drawski+Młyn;5100987
Drawsko+Pomorskie;5100980
Drogomyśl;5100989
Drużyna+Poznańska;5100990
Drzeńsko;5100994
Drzewce;5100983
Drzewica;5100986
Drzonowo;5100958
Drzycim;5100912
Drzymałowo;5100880
Dubidze;5100999
Dubielno;5101000
Dulowa;5101002
Dunowo;5101004
Duszniki-Zdrój;5100008
Dwory;5101014
Dygowo;5101017
Dytmarów;5101020
Działdowo;5100100
Dziembówko;5101031
Dziemiany+Kaszubskie;5100935
Dziergowice;5101034
Dzierżanów+Wielkopolski;5101032
Dzierżążno;
Dzierżoniów+Śląski;5101035
Dzietrzniki;5101036
Dziewule;5101015
Dzięczyn;5100913
Dzikowice;5100936
Dziwno;5101013
Elbląg;5100253
Ełk;5100305
Ełk+Szyba+Wschód;5101040
Ełk+Zachód;5101041
Fałkowo;5101045
Fasty;5101046
Firlus;5101048
Fiszewo;5101054
Fosowskie;5100101
Fronołów;5101050
Frysztak;5101049
Gajówka;5101063
Gałęzinowo;5104430
Gałkówek;5101064
Gamerki+Wielkie;5101066
Garbatka-Letnisko;5101072
Garbce;5101056
Garczegorze;5101103
Garczyn;5101075
Gardeja;5101112
Garki;5101164
Garwolin;5101067
Garzyn;5101076
Gawrony;5101305
Gąbin;5101081
Gądki;5101058
Gądków+Wielki;5101171
Gągławki;5101060
Gąsawy+Plebańskie;5101069
Gąsocin;5101071
Gdakowo;5101105
Gdańsk+Główny;5100009
Gdańsk+Lipce;5101114
Gdańsk+Matarnia;
Gdańsk+Oliwa;5101104
Gdańsk+Orunia;5101116
Gdańsk+Osowa;
Gdańsk+Politechnika;5101117
Gdańsk+Port+Lotniczy;
Gdańsk+Przymorze-Uniwersytet;5101242
Gdańsk+Stocznia;5101266
Gdańsk+Wrzeszcz;
Gdańsk+Zaspa;5101127
Gdańsk+Żabianka+AWFiS;5101317
Gdynia+Chylonia;5101091
Gdynia+Cisowa;5104585
Gdynia+Główna+(Osobowa);5100010
Gdynia+Grabówek;5101110
Gdynia+Leszczynki;5101311
Gdynia+Orłowo;5101118
Gdynia+Redłowo;5101126
Gdynia+Stocznia-Uniwersytet+Morski;5101120
Gdynia+Wielki+Kack;5101124
Gdynia+Wzgórze+Świętego+Maksymiliana;5101304
Geniusze;5101149
Gębarzewo;5101128
Gierałtów;5101154
Gierałtów+Wykroty;5101155
Gierwaty;5101151
Gilów;5101146
Giżycko;5100102
Gliniczek;5101203
Gliniszcze;5101213
Gliwice;5100011
Gliwice+Kuźnica;5101180
Gliwice+Łabędy;5101181
Głębokie+Międzyrzeckie;5101177
Głogów;5100012
Głogów+Huta;5101179
Głogów+Małopolski;5101178
Głogów+Małopolski+Południowy;5101183
Głogów+Wróblin;5104129
Głogówek;5101142
Głogówko;5101137
Głowaczewo;5101297
Głuchołazy;5101331
Głuchów;5101176
Głuszyno+Pomorskie;5101185
Gniewczyna;5101202
Gniewkowo;5101205
Gniezno;5100013
Goczałkowice;5101092
Goczałkowice-Zdrój;5101224
Goczałków;5101098
Godętowo;5101217
Godki;5101232
Godków;5100103
Godurowo;5101291
Gogolewo;5101220
Gogolin;5101140
Gola;5101225
Goleniów;5100105
Goleszów;5101277
Goleszów+Górny;5101139
Golęczewo;5101100
Golina;5101214
Goliszów;5101152
Gołańcz;5101319
Gołaszewo+Kujawskie;5101170
Gołąb;5101175
Gołąb+[dawna+lokalizacja];5101175
Gołotczyzna;5101187
Gołubie+Kaszubskie;5101160
Gomunice;5101226
Goniądz;5101147
Gorlice+Zagórzany;5101322
Gorzanów;5101327
Gorzędów;5101320
Gorzkowice;5101324
Gorzów+Chrzanowski;5101097
Gorzów+Wielkopolski;5100014
Gorzów+Wielkopolski+Karnin;5101303
Gorzów+Wielkopolski+Wieprzyce;5100106
Gorzów+Wielkopolski+Wschodni;5104796
Gorzów+Wielkopolski+Zamoście;5101326
Gorzów+Wielkopolski+Zieleniec;5101321
Gorzuchowo+Chełmińskie;5101221
Gorzupia;5101329
Gorzyca;5101310
Gostynin;5101279
Gostyń;5101236
Goszcza;5101268
Gościcino+Wejherowskie;5101302
Gościszewo;5101096
Gośniewice;5101269
Goświnowice;5101235
Goworowo;5101306
Góra;5101219
Górażdże;5101059
Górka+Duchowna;5101107
Górki+Noteckie;5101169
Górki+Pomorskie;5101239
Górki+Szczukowskie;5101274
Górki+Śląskie;5101168
Górna+Grupa;5101233
Górowo;5101228
Górzyca;5101310
Górzyniec;5101312
Grabiny;5101089
Grabowno+Wielkie;5101082
Grabowo;5101085
Grabów+nad+Pilicą;5101086
Grabów+Szlachecki;5101079
Grajewo;5101158
Gralewo;5101189
Granowiec;5101073
Granowo+Nowotomyskie;5101207
Grąblewo;
Gregorowce;5101259
Grębocice;5101130
Grębocin;5101131
Gręboszów;5101090
Grębów;5101247
Grodzie;5101111
Grodziec+Mały;5101193
Grodziec+Śląski;5101125
Grodzisk+Mazowiecki;5101255
Grodzisk+Mazowiecki+Jordanowice;5101194
Grodzisk+Mazowiecki+Okrężna;5101196
Grodzisk+Mazowiecki+Piaskowa;5101197
Grodzisk+Mazowiecki+Radońska;5101198
Grodzisk+Wielkopolski;5101263
Grodzisko+Dolne;5101162
Grodziszcze+Mazowieckie;5101332
Grom;5101257
Gromnik;5101256
Gronajny;5101204
Gronowo+Elbląskie;5101129
Grotniki;5101251
Grudze;5101284
Grudziądz;5101296
Grudziądz+Mniszek;5101195
Grudziądz+Owczarki;5101108
Grudziądz+Przedmieście;5101258
Grupa;5101282
Grybów;5101264
Gryfice;5100107
Gryfino;5100108
Gryfów+Śląski;5100109
Grylewo;5101254
Gryźliny;5101316
Grzegorzewo;5101141
Grzędzice;5101260
Grzępa;5101265
Grzęska;5101267
Grzmiąca;5100110
Grzybowa+Góra;5101249
Grzywna;5101315
Gułtowy;5101295
Gutowiec;5101294
Gwda+Mała;5101299
Hajnówka;5101334
Halinów;5101343
Hartowiec;5101351
Hel;5101340
Henrykowo;5101339
Henryków;5101341
Herby+Nowe;5100111
Herby+Stare;5100112
Hołówki+Duże;5101338
Hordzieżka;5100320
Horyniec-Zdrój;5101337
Hrebenne;5101335
Hrubieszów+Miasto;5101344
Hucisko;5101347
Hurko;5101346
Huta;5101345
Iława+Główna;5100075
Iława+Miasto;5101358
Iłowa+Żagańska;5101356
Iłowiec;5101357
Iłowo;5101361
Imbramowice;5101352
Imielin;5101359
Inowrocław;5100015
Inowrocław+Rąbinek;5101362
Inwałd;5101360
Iwin;5101363
Izbica;5101366
Jabłonowo+Pomorskie;5100113
Jabłoń+Kościelna;5101428
Jackowice;5101371
Jackowo+Dworskie;5101400
Jacków;5101368
Jadwiżyn;5101401
Jagodzin;5101421
Jaksice;5101377
Jaktorów;5101429
Jamielnik;5101438
Janikowo;5101442
Janinów;5101444
Jankowa;5101443
Jankowa+Żagańska;5101447
Jankowce;5101445
Jankowo+Dolne;5101441
Jankowo+Pomorskie;5101446
Janków+Przygodzki;5101454
Janowice+Wielkie;5101483
Janówek;5101486
Jarocin;5100016
Jarosław;5100233
Jarosty;5101381
Jaroszowiec+Olkuski;5101449
Jarszewo;5101383
Jarzębia+Łąka;5101378
Jarzębiec;5101456
Jasienica+Dolna;5101460
Jasienica+koło+Bielska;5101458
Jasienica+Mazowiecka;5101466
Jasień+Brzeski;5101467
Jasiona;5101468
Jasionka+Lotnisko;
Jasionna+Łowicka;5101465
Jasło;5100306
Jastarnia;5101385
Jastarnia+Wczasy;5104478
Jastrowie;5101471
Jastrząb;5101469
Jastrzębie+Pomorskie;5101382
Jastrzębna;5101461
Jastrzębsko;5101464
Jaszczów;5101491
Jaśkowice;5101472
Jaśkowice+Legnickie;5101432
Jaślany;5101387
Jawiszowice+Jaźnik;5101426
Jawor;5101487
Jaworze+Jasienica;5101485
Jaworzno+Ciężkowice;5101482
Jaworzno+koło+Wielunia;5101488
Jaworzno+Szczakowa;5100213
Jaworzyna+Śląska;5100077
Jazy;5101388
Jedlicze;5101396
Jedlicze+Męcinka;5101397
Jedlnia+Kościelna;5101410
Jedlnia-Letnisko;5101395
Jeglia;5101407
Jelcz+Laskowice;5102108
Jelcz+Miłoszyce;5101411
Jelenia+Góra;5100259
Jelenia+Góra+Cieplice+[dawna+lokalizacja];5100165
Jelenia+Góra+Orle;5101433
Jelenia+Góra+Sobieszów;5101423
Jelenia+Góra+Zachodnia;5101424
Jelenino;5101425
Jeleń;5101406
Jeleśnia;5101435
Jelna;5101402
Jełowa;5101437
Jeruty;5101419
Jerzmanice+Lubuskie;5101436
Jesionka;5101414
Jezierzany;5101493
Jezierzyce+Słupskie;5101502
Jeżewo;5101403
Jeżów+Sudecki;5101417
Jeżówka+(dawna+lokalizacja);5101496
Jędrzejów;5100115
Jędrzychowice;5101408
Jonkowo;5101450
Jordanów;5100116
Józefów;5101453
Józefów+Roztoczański;5101452
Julianka;5101476
Jurata;5101478
Justynów;5101479
Juszczyn;5101481
Kaczkowo;5101506
Kaczorowo;5104431
Kaczory;5101526
Kaczyce+koło+Cieszyna;5101546
Kalembina;5101581
Kalety;5100117
Kaliska;5101504
Kaliska+Kujawskie;5101514
Kalisz;5100017
Kalisz+Kaszubski;5101632
Kalisz+Pomorski;5101519
Kalisz+Pomorski+Miasto;5101747
Kalisz+Szczypiorno;5101781
Kalisz+Winiary;5101860
Kalwaria+Zebrzydowska;5101889
Kalwaria+Zebrzydowska+Lanckorona;5100118
Kałęczyn;5101571
Kały;5101515
Kamieniec+Ząbkowicki;5100018
Kamienna+Karczma;5101508
Kamienna+Nowa;5101704
Kamień+Mały;5100296
Kamień+Pomorski;5100247
Kamieńczyce;5101674
Kamieńsk;5101677
Kamionka+Wielka;5101670
Kamionki+Jezioro;5101513
Kanie;5101517
Kanie+Helenowskie;5101511
Kaniów;5101524
Karcino;5101551
Karczyn;5101555
Karlino;5101518
Karłowice;5101654
Karnkowo;5101644
Karsin;5101520
Karwica+Mazurska;5101859
Karwice;5101776
Karzec;5101890
Kasina+Wielka;5101789
Katowice;5100020
Katowice+Brynów;5101542
Katowice+Ligota;5101522
Katowice+Piotrowice;5101746
Katowice+Podlesie;5101808
Katowice+Szopienice+Południowe;5101812
Katowice+Załęże;5101527
Katowice+Zawodzie;5101537
Kawcze;5101525
Kawnice;5101851
Kazimierówka;5101896
Kazimierz+Pomorski;5101903
Kąkolewo;5101635
Kątne;5101803
Kąty+Wrocławskie;5101817
Kędzierzyn-Koźle;5100119
Kędzierzyn-Koźle+Azoty;5101579
Kędzierzyn-Koźle+Przystanek;5101593
Kędzierzyn-Koźle+Zachodnie;5101577
Kępa;5101569
Kępice;5101584
Kępka;5101745
Kępno;5100023
Kęszyce;5101587
Kętrzyn;5100120
Kęty;5101588
Kęty+Podlesie;5101592
Kiekrz;5101606
Kielce+Białogon;5101603
Kielce+Główne;5100022
Kielce+Herbskie;5100121
Kielce+Piaski;5101616
Kielce+Słowik;5103472
Kielce+Ślichowice;5101604
Kielcza;5101625
Kiełpino+Kartuskie;5101612
Kietlanka;5101602
Kijewo;5101628
Kity;5101619
Klecza+Dolna;5101650
Klecza+Górna;5101652
Klembów;5101658
Klementowice;5101664
